GENES PFAM GO KAAS
GFH05526 PF04182 NA 
GFH05534 PF00731 GO:0006189 K11808
GFH05534 PF02222 NA K11808
GFH05534 PF17769 NA K11808
GFH05534 PF07478 GO:0008716 K11808
GFH05536 PF17144 GO:0005840;GO:0006412;GO:0008097;GO:0003735 K02932
GFH05536 PF14204 NA K02932
GFH05540 PF01549 NA K20781
GFH05547 PF01490 NA 
GFH05549 PF09111 GO:0005634;GO:0006338;GO:0016818;GO:0005524;GO:0003676 K11654
GFH05549 PF00271 NA K11654
GFH05549 PF09110 GO:0043044;GO:0031491 K11654
GFH05550 PF00176 GO:0005524 K11654
GFH05550 PF04851 GO:0016787;GO:0005524;GO:0003677 K11654
GFH05550 PF00270 GO:0005524;GO:0003676 K11654
GFH05551 PF00344 GO:0016020;GO:0015031 K10956
GFH05551 PF10559 NA K10956
GFH05553 PF04359 NA 
GFH05554 PF00331 GO:0005975;GO:0004553 
GFH05555 PF17903 NA K06961
GFH05565 PF14447 NA 
GFH05565 PF13639 NA 
GFH05565 PF13920 NA 
GFH05565 PF00097 GO:0046872 
GFH05565 PF17175 GO:0005892 
GFH05565 PF13923 NA 
GFH05565 PF13445 NA 
GFH05569 PF13901 NA 
GFH05570 PF03031 NA K15731
GFH05571 PF07298 NA K15744
GFH05573 PF12330 NA K16315
GFH05579 PF05050 NA 
GFH05582 PF00069 GO:0006468;GO:0005524;GO:0004672 K20606
GFH05582 PF07714 GO:0006468;GO:0004672 K20606
GFH05583 PF01209 GO:0008168 
GFH05584 PF00642 GO:0046872 
GFH05585 PF00481 GO:0003824 K17499
GFH05587 PF00436 GO:0003697 
GFH05591 PF02089 GO:0098599 K01074
GFH05592 PF00887 GO:0000062 
GFH05595 PF01694 GO:0016021;GO:0004252 
GFH05598 PF01513 GO:0006741;GO:0003951 
GFH05600 PF00271 NA K13025
GFH05600 PF00270 GO:0005524;GO:0003676 K13025
GFH05602 PF16496 NA K11649
GFH05602 PF16496 NA K11649
GFH05604 PF00483 GO:0009058;GO:0016779 K00966
GFH05604 PF00132 NA K00966
GFH05604 PF12804 NA K00966
GFH05605 PF09229 GO:0051087;GO:0001671 
GFH05607 PF00176 GO:0005524 K10877
GFH05607 PF04851 GO:0016787;GO:0005524;GO:0003677 K10877
